1	0	1
2	4	2
3	2	5
4	6	6
5	1	11
6	5	10
7	3	16
8	7	15
9	8	3
10	12	4
11	10	7
12	14	8
13	9	12
14	13	9
15	11	14
16	15	13
17	16	30
18	20	32
19	18	25
20	22	26
21	17	24
22	21	22
23	19	20
24	23	18
25	24	31
26	28	29
27	26	27
28	30	28
29	25	23
30	29	21
31	27	17
32	31	19
33	32	36
34	36	35
35	34	40
36	38	39
37	33	41
38	37	43
39	35	45
40	39	47
41	40	33
42	44	34
43	42	37
44	46	38
45	41	42
46	45	44
47	43	46
48	47	48
49	48	62
50	52	61
51	50	57
52	54	58
53	49	53
54	53	55
55	51	52
56	55	51
57	56	63
58	60	64
59	58	59
60	62	60
61	57	56
62	61	54
63	59	50
64	63	49
